name,latitude,longitude,streetAddress,addressLocality,addressRegion,postalCode,phone,website,email,direction
Anything Wet Pools and Spas,26.517725,-80.076774,1550 S.W. 8th Street,Boynton Beach,FL,33426,561-432-6100,http://www.anythingwetpools.com,Stephanie@AnythingWetPools.com,http://maps.google.com/maps?saddr=&daddr=1550 SW 8th Street Boynton Beach FL 33426 US
AQUA BLUE POOLS,28.116651,-80.686576,638 WASHBURN RD,MELBOURNE,FL,32934,321-777-2812 x12,http://www.myaquablue.com/,repair@myaquablue.com,http://maps.google.com/maps?saddr=&daddr=638 WASHBURN RD MELBOURNE FL 32934 US
Aqua Superstore,27.010010,-82.142233,18501 Murdock Cir #501,Port Charlotte,FL,33948,(866) 910-2782,http://www.Aquasuperstore.com,Sales@aquasuperstore.com,http://maps.google.com/maps?saddr=&daddr=18501 Murdock Cir 501 Port Charlotte FL 33948 US
AquaBrite Pool & Spa; LLC,26.625514,-81.939999,1428 SE 16th Place,Cape Coral,FL,33990,239-800-2228,http://www.aquabritepoolservice.com,info@aquabritepoolservice.com,http://maps.google.com/maps?saddr=&daddr=1428 SE 16th Place Cape Coral FL 33990 US
Aquanautics Pools llc,28.295312,-81.674494,264 greeley loop Davenport,Davenport,FL,33897,3527025936,http://aquanauticspools.com,eddie@aquanauticspools.com,http://maps.google.com/maps?saddr=&daddr=264 greeley loop Davenport Davenport FL 33897 US
"Aquatech Pools GC, Inc",27.138822,-82.450190,503  Laurel Rd East,Nokomis,FL,34275,941-488-3990,http://www.aquatechpoolsgc.com,annette@aquatechpoolsgc.com,http://maps.google.com/maps?saddr=&daddr=503  Laurel Rd East Nokomis FL 34275 US
Artistic Pools Of Florida Inc.,27.916151,-82.720602,2841 Roosevelt Boulevard,Clearwater,FL,33760,(727) 536-5055,http://www.artisticpoolsfla.com,specialists@artisticpoolsfla.com,http://maps.google.com/maps?saddr=&daddr=2841 Roosevelt Boulevard Clearwater FL 33760 US
"At Ease Pool Security Systems,Inc.",28.145666,-82.020669,8022 Ridge Pointe Drive West,Lakeland,FL,33810,(863) 327-6805,http://www.ateasepoolfence.com,joe@ateasepoolfence.com,http://maps.google.com/maps?saddr=&daddr=8022 Ridge Pointe Drive West Lakeland FL 33810 US
Atlantic Pool,26.581893,-80.052643,403 South 3rd St,Lantana,FL,33462,(561) 582-1830,,,http://maps.google.com/maps?saddr=&daddr=403 South 3rd St Lantana FL 33462 US
Backyard & Pool Superstore,29.176447,-82.142661,1216 SW 6th Ave,Ocala,FL,34471,(800) 926-5770,http://www.backyardpoolsuperstore.com,help@backyardpoolsuperstore.com,http://maps.google.com/maps?saddr=&daddr=1216 SW 6th Ave Ocala FL 34471 US
Baldree Pools LLC,28.347409,-81.242734,3213 Waterbridge Court,Kissimmee,FL,34744,(407) 593-2314,http://www.baldreepools.com,nicolebaldree@me.com,http://maps.google.com/maps?saddr=&daddr=3213 Waterbridge Court Kissimmee FL 34744 US
Beachside Pool and Irrigation Inc,28.327901,-80.611316,685 N Atlantic Ave,Cocoa Beach,FL,32931,3214080987,https://www.ashleysbeachside.com,doak.corp@gmail.com,http://maps.google.com/maps?saddr=&daddr=685 N Atlantic Ave Cocoa Beach FL 32931 US
"Belleair Pool Service & Supply, Inc.",27.916776,-82.806318,1702 West Bay Drive,Largo,FL,33770,(727) 483-9671,,david.bps@knology.net,http://maps.google.com/maps?saddr=&daddr=1702 West Bay Drive Largo FL 33770 US
"BEST ELECTRIC OF PALM BAY, INC",28.033967,-80.689428,1364 MIT COURT,PALM BAY,FL,32907,321-723-6793,,jeanne-bestelectric@outlook.com,http://maps.google.com/maps?saddr=&daddr=1364 MIT COURT PALM BAY FL 32907 US
BEST POOLS OF BREVARD INC,28.175941,-80.649230,4660 N HARBOR CITY BLVD,MELBOURNE,FL,32935,321-242-2003,http://www.bestpools.com/,info@bestpools.com,http://maps.google.com/maps?saddr=&daddr=4660 N HARBOR CITY BLVD MELBOURNE FL 32935 US
BILL COODY CUSTOM POOLS,28.933707,-81.290206,744 E RHODE ISLAND AVE STE B,ORANGE CITY,FL,32763,386-804-9194,,COODYPOOLS@EMBARQMAIL.COM,http://maps.google.com/maps?saddr=&daddr=744 E RHODE ISLAND AVE STE B ORANGE CITY FL 32763 US
BJ MANNIX POOL SERVICE & REPAIR INC.,27.996489,-81.676504,"3500 CYPRESS GARDENS ROAD, SUITE 1",WINTER HAVEN,FL,33884,863-326-9656,http://www.mannixpools.net/,info@mannixpools.net,http://maps.google.com/maps?saddr=&daddr=3500 CYPRESS GARDENS ROAD WINTER HAVEN FL 33884 US
Blue Oasis Pools,26.194355,-80.214680,5604 NW 49th Avenue,Tamarac,FL,33319,954-383-1203,,Blueoasis.psr@gmail.com,http://maps.google.com/maps?saddr=&daddr=5604 NW 49th Avenue Tamarac FL 33319 US
Bottomless Pools,26.706825,-80.226685,"1128 Royal Palm Beach Blvd., Suite # 163",Royal Palm Beach,FL,33411,561-248-0299,http://www.bottomlesspools.com,Lightsystems.us@gmail.com,http://maps.google.com/maps?saddr=&daddr=1128 Royal Palm Beach Blvd Royal Palm Beach FL 33411 US
BRIAN'S ELITE POOL SERVICE,26.511216,-80.178774,11142 Misty Ridge Way,Boynton Beach,FL,33473,561-333-9888,,bman3234@gmail.com,http://maps.google.com/maps?saddr=&daddr=11142 Misty Ridge Way Boynton Beach FL 33473 US
Cape Coral Pool Supply,26.600769,-81.990958,2722 Skyline Blvd,Cape Coral,FL,33914,(239) 772-1986,,,http://maps.google.com/maps?saddr=&daddr=2722 Skyline Blvd Cape Coral FL 33914 US
Carlson/Ross Pool & Spa,26.699208,-80.157086,"1486 Skees Road, Suite B",West Palm Beach,FL,33411,(561) 588-1200,http://www.carlsonross.com,fred@carlsonross.com,http://maps.google.com/maps?saddr=&daddr=1486 Skees Road West Palm Beach FL 33411 US
Clear Tech Pool Service Inc.,27.769950,-82.739713,7309 1st Ave S,St. Petersburg,FL,33707,(727) 347-6770,http://www.cleartechpools.com,bchand@cleartechpools.com,http://maps.google.com/maps?saddr=&daddr=7309 1st Ave S St Petersburg FL 33707 US
CLEARWATER POOL AND PATIO,28.020984,-82.738208,27384 US HWY 19 NORTH,CLEARWATER,FL,33761,727-791-3100,,clearwaterpoolandpatio@yahoo.com,http://maps.google.com/maps?saddr=&daddr=27384 US HWY 19 NORTH CLEARWATER FL 33761 US
Coastal Pools & More,26.932824,-82.288709,"3579 S. Access Road, Suite D",Englewood,FL,34224,941-681-2820,http://www.gocoastalpools.com,david@gocoastalpools.com,http://maps.google.com/maps?saddr=&daddr=3579 S Access Road Englewood FL 34224 US
Crystal Clear Pool Store,27.375368,-80.334254,4911 Oleander Ave,Fort Pierce,FL,34982,(772) 429-0157,,crystalclearps@bellsouth.net,http://maps.google.com/maps?saddr=&daddr=4911 Oleander Ave Fort Pierce FL 34982 US
"D&S LIGHTING, INC",30.195288,-82.763151,125 SW MALLARD GLN,LAKE CITY,FL,32024,386-755-5255,,shelbyconklin@aol.com,http://maps.google.com/maps?saddr=&daddr=125 SW MALLARD GLN LAKE CITY FL 32024 US
DALE'S GAS APPLIANCE REPAIR INC.,28.605145,-81.300955,"3580 ALOMA AVENUE, SUITE 13",WINTER PARK,FL,32792,407-678-1277,http://www.dalesgas.com,yari@dalesgas.com,http://maps.google.com/maps?saddr=&daddr=3580 ALOMA AVENUE WINTER PARK FL 32792 US
DART POOL SOLUTIONS,27.069819,-82.210332,1181 S. SUMTER BLVD PMB 324,NORTH PORT,FL,34287,941-743-2010,http://www.dartpoolsolutions.com,info@dartpoolsolutions.com,http://maps.google.com/maps?saddr=&daddr=1181 S SUMTER BLVD PMB 324 NORTH PORT FL 34287 US
David Pruette's Electrical Services,30.134752,-81.775941,331-8 Parkridge Ave,Orange Park,FL,32065,(904) 272-7225,,cho@pruetteelectric.com,http://maps.google.com/maps?saddr=&daddr=3318 Parkridge Ave Orange Park FL 32065 US
ENERGY CRISIS,27.768567,-82.403127,6242 FLORIDA CIRCLE EAST,APOLLO BEACH,FL,33572,813-493-0851,http://www.energycrisisinc.com/,joey@energycrisisinc.com,http://maps.google.com/maps?saddr=&daddr=6242 FLORIDA CIRCLE EAST APOLLO BEACH FL 33572 US
Erica's Pool Service,24.560335,-81.751090,4 Seaside South Court,Key West,FL,33040,(305) 849-2763,http://www.ericaspools.com/,erica@ericaspools.com,http://maps.google.com/maps?saddr=&daddr=4 Seaside South Court Key West FL 33040 US
Eric's Landscape Design,28.891082,-81.609914,37215 Calhoun Rd.,Eustis,FL,32736,888-949-8811,,ericslandscape@yahoo.com,http://maps.google.com/maps?saddr=&daddr=37215 Calhoun Rd Eustis FL 32736 US
FCI Builders,26.257317,-80.258545,2166 NW 99th Way,Coral Springs,FL,33071,(954) 444-1189,http://www.fcibuild.com,bh20508@aol.com,http://maps.google.com/maps?saddr=&daddr=2166 NW 99th Way Coral Springs FL 33071 US
"FIBER LITE, INC (GS FIBER)",26.599056,-80.130340,5333 ISLAND GYPSY DRIVE,GREEN ACRES,FL,33463,954-536-0106,http://www.gsfiber.com,george@gsfiber.com,http://maps.google.com/maps?saddr=&daddr=5333 ISLAND GYPSY DRIVE GREEN ACRES FL 33463 US
Florida Leisure Pool & Spa,29.686054,-82.448321,"3499 NW 97th Blvd, Ste 7",Gainesville,FL,32606,(352) 373-0612,http://www.floridapoolspa.com,service@floridapoolspa.com,http://maps.google.com/maps?saddr=&daddr=3499 NW 97th Blvd Ste 7 Gainesville FL 32606 US
Florida Pool Service,26.222873,-81.775519,2154 Corporation Blvd,Naples,FL,34109,(239) 594-8497,http://www.floridapoolservice.net,flordiapoolservice@yahoo.com,http://maps.google.com/maps?saddr=&daddr=2154 Corporation Blvd Naples FL 34109 US
G & S Pool Supply,27.446170,-82.486170,"5002 Lena Rd, #101",Bradenton,FL,34211,(941) 755-9288,https://www.gspoolsupply.com,gspoolsupply@gmail.com,http://maps.google.com/maps?saddr=&daddr=5002 Lena Rd Bradenton FL 34211 US
G&J POOL REMODELING,28.130273,-80.662882,1436 ARNOLD DR,MELBOURNE,FL,32935,321-302-6879,,actionjack1099@aol.com,http://maps.google.com/maps?saddr=&daddr=1436 ARNOLD DR MELBOURNE FL 32935 US
Gerard Land Aquatic Inc.,28.671724,-81.208047,P.O. Box 623251,Oviedo,FL,32765,4079774317,http://www.gerardland.com,Gerard@gerardland.com,http://maps.google.com/maps?saddr=&daddr=PO Box 623251 Oviedo FL 32765 US
Good Friends Pools,26.350554,-80.129114,21000 Boca Rio Rd A-27,Boca Raton,FL,33427,(561) 451-0706,,,http://maps.google.com/maps?saddr=&daddr=21000 Boca Rio Rd A27 Boca Raton FL 33427 US
Gordon's Pool and Spa,26.565215,-81.944470,1520-a se 46 lane,Cape Coral,FL,33904,2395423066,http://www.gordonspoolandspa.com,poolczar@mindspring.com,http://maps.google.com/maps?saddr=&daddr=1520a se 46 lane Cape Coral FL 33904 US
GRAND ELECTRIC,28.109137,-80.619487,109 NELSON AVE,MELBOURNE,FL,32935,321-676-3234,,grandelectric1@cfl.rr.com,http://maps.google.com/maps?saddr=&daddr=109 NELSON AVE MELBOURNE FL 32935 US
H2O INDUSTRIES DBA FAMILY POOL & SPA,29.694689,-82.340229,4404 NW 13TH STREET,GAINESVILLE,FL,32609,352-375-7800,,h2ogainesville@gmail.com,http://maps.google.com/maps?saddr=&daddr=4404 NW 13TH STREET GAINESVILLE FL 32609 US
Hydrotech Pools,26.224774,-81.776955,2016 Trade Center Way,NAPLES,FL,34109,2395147946,http://www.hydrotechpool.com,hydrotechinc@gmail.com,http://maps.google.com/maps?saddr=&daddr=2016 Trade Center Way NAPLES FL 34109 US
HYDROTECH POOLS INC,26.225197,-81.776783,2043 TRADE CENTER WAY,NAPLES,FL,34109,239-514-7946,,hydrotechinc@gmail.com,http://maps.google.com/maps?saddr=&daddr=2043 TRADE CENTER WAY NAPLES FL 34109 US
Ikes Carter Pool Companies,26.119396,-80.317406,133 SW 126th avenue,Plantation,FL,33325,(954) 771-5700,http://www.ikescarterpools.com,darla@ikescarterpools.com,http://maps.google.com/maps?saddr=&daddr=133 SW 126th avenue Plantation FL 33325 US
Ike's Carter Pools,26.188919,-80.127339,1290 E. Commercial Blvd,Ft. Lauderdale,FL,33334,(954) 771-5700,,,http://maps.google.com/maps?saddr=&daddr=1290 E Commercial Blvd Ft Lauderdale FL 33334 US
JS CUSTOM POOLS,28.712468,-81.112324,271 OLD MIMS RD,GENEVA,FL,32732,407-701-8923,http://JSCUSTOMPOOLS.COM,JSCUSTOMPOOLS@BELLSOUTH.NET,http://maps.google.com/maps?saddr=&daddr=271 OLD MIMS RD GENEVA FL 32732 US
Knox Pools Inc.,26.277891,-80.097177,3825 North Federal Highway,Pompano Beach,FL,33064,(954) 785-5622,,,http://maps.google.com/maps?saddr=&daddr=3825 North Federal Highway Pompano Beach FL 33064 US
Leslie's Commercial Service Center,28.439900,-81.398948,1260 La Quinta Dr. Ste 400,Clermont,FL,34711,4074382051,http://www.lesliespool.com,rmubarak@lesl.com,http://maps.google.com/maps?saddr=&daddr=1260 La Quinta Dr Ste 400 Clermont FL 34711 US
Leslie's Commercial Service Center,26.168551,-80.154527,3300 Powerline Road,Ft. Lauderdale,FL,33309,(954) 565-1405,,bstefanic@lesl.com,http://maps.google.com/maps?saddr=&daddr=3300 Powerline Road Ft Lauderdale FL 33309 US
Leslie's Commercial Service Center,28.013637,-82.534364,5402 Pioneer Park Blvd.,Tampa,FL,33634,(813) 884-0500,,eyeager@srsmith.com,http://maps.google.com/maps?saddr=&daddr=5402 Pioneer Park Blvd Tampa FL 33634 US
Leslie's Commercial Service Center,26.774877,-80.092390,6701 Garden Road,Riviera Beach,FL,33404,(561) 842-3439,,bfairbanks@lesl.com,http://maps.google.com/maps?saddr=&daddr=6701 Garden Road Riviera Beach FL 33404 US
Leslie's Swimming Pool Supplies,26.005630,-80.311968,100 S. Flamingo Road,Pembroke Pines,FL,33027,(954) 499-7248,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=100 S Flamingo Road Pembroke Pines FL 33027 US
Leslie's Swimming Pool Supplies,27.866983,-82.787096,10350 Seminole Blvd,Largo,FL,33778,(727) 319-3069,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=10350 Seminole Blvd Largo FL 33778 US
Leslie's Swimming Pool Supplies,28.313221,-81.669299,111 Ambersweet Way,Davenport,FL,33897,(863) 420-9120,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=111 Ambersweet Way Davenport FL 33897 US
Leslie's Swimming Pool Supplies,26.525966,-80.090559,113 N. Congress Avenue,Boynton Beach,FL,33426,(561) 375-6394,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=113 N Congress Avenue Boynton Beach FL 33426 US
Leslie's Swimming Pool Supplies,28.690306,-81.224511,1146 E. State Route 434,Winter Springs,FL,32708,(407) 327-4114,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1146 E State Route 434 Winter Springs FL 32708 US
Leslie's Swimming Pool Supplies,26.571534,-81.872049,11598 Cleveland Avenue,Fort Myers,FL,33907,(239) 274-3500,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=11598 Cleveland Avenue Fort Myers FL 33907 US
Leslie's Swimming Pool Supplies,30.135463,-81.632440,11700 San Jose Blvd,Mandarin,FL,32223,(904) 268-5298,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=11700 San Jose Blvd Mandarin FL 32223 US
Leslie's Swimming Pool Supplies,28.182051,-82.353440,1255 Bruce B Downs Blvd,New Tampa,FL,33543,(813) 994-2557,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1255 Bruce B Downs Blvd New Tampa FL 33543 US
Leslie's Swimming Pool Supplies,26.214613,-80.106194,1263 S. Federal Highway,Pompano Beach,FL,33062,(954) 783-5893,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1263 S Federal Highway Pompano Beach FL 33062 US
Leslie's Swimming Pool Supplies,25.685930,-80.401604,12779 N. Kendall Drive,Miami,FL,33186,(305) 385-3941,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=12779 N Kendall Drive Miami FL 33186 US
Leslie's Swimming Pool Supplies,27.625848,-80.389267,1355 US Hwy 1,Vero Beach,FL,32960,(772) 299-3274,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1355 US Hwy 1 Vero Beach FL 32960 US
Leslie's Swimming Pool Supplies,26.674469,-80.275349,13860 Wellington Trace,Wellington,FL,33414,(561) 793-1246,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=13860 Wellington Trace Wellington FL 33414 US
Leslie's Swimming Pool Supplies,25.640076,-80.335790,14011 S. Dixie Highway,Miami,FL,33176,(305) 251-0439,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=14011 S Dixie Highway Miami FL 33176 US
Leslie's Swimming Pool Supplies,28.078321,-82.506975,14364 N. Dale Mabry Highway,Tampa,FL,33618,(813) 968-1534,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=14364 N Dale Mabry Highway Tampa FL 33618 US
Leslie's Swimming Pool Supplies,28.573620,-81.520055,1485 E. Silver Star Road,Ocoee,FL,34761,(407) 522-3633,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1485 E Silver Star Road Ocoee FL 34761 US
Leslie's Swimming Pool Supplies,27.980740,-82.711301,1530 McMullen Booth Road,Clearwater,FL,33759,(727) 723-0681,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1530 McMullen Booth Road Clearwater FL 33759 US
Leslie's Swimming Pool Supplies,27.937837,-82.307107,1534 W. Brandon Blvd.,Brandon,FL,33511,(813) 651-3305,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1534 W Brandon Blvd Brandon FL 33511 US
Leslie's Swimming Pool Supplies,27.999041,-80.674122,160 Malabar Road,Palm Bay West,FL,32907,,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=160 Malabar Road Palm Bay West FL 32907 US
Leslie's Swimming Pool Supplies,29.114764,-81.024724,1665 Dunlawton Ave,Port Orange,FL,32127,(386) 304-2870,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1665 Dunlawton Ave Port Orange FL 32127 US
Leslie's Swimming Pool Supplies,26.637191,-80.088287,1666 S. Congress Avenue,Palm Springs,FL,33461,(561) 434-2704,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1666 S Congress Avenue Palm Springs FL 33461 US
Leslie's Swimming Pool Supplies,25.945842,-80.167145,1688 NE Miami Gardens Drive,North Miami Beach,FL,33179,(305) 947-9400,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1688 NE Miami Gardens Drive North Miami Beach FL 33179 US
Leslie's Swimming Pool Supplies,27.009910,-82.146484,1900 South Tamiami Trail,Port Charlotte,FL,33948,(941) 627-0354,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1900 South Tamiami Trail Port Charlotte FL 33948 US
Leslie's Swimming Pool Supplies,28.524475,-81.193122,1987 S Alafaya Trail,Orlando,FL,32828,(407) 243-9503,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=1987 S Alafaya Trail Orlando FL 32828 US
Leslie's Swimming Pool Supplies,26.352342,-80.203416,21735 US Highway 441,Boca Raton,FL,33428,(561) 482-1066,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=21735 US Highway 441 Boca Raton FL 33428 US
Leslie's Swimming Pool Supplies,28.601040,-81.322228,2245 Aloma Avenue,Winter Park,FL,32792,(407) 671-8127,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=2245 Aloma Avenue Winter Park FL 32792 US
Leslie's Swimming Pool Supplies,26.608879,-81.941246,2314 Del Prado Blvd. S.,Cape Coral,FL,33990,(239) 574-0030,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=2314 Del Prado Blvd S Cape Coral FL 33990 US
Leslie's Swimming Pool Supplies,26.157477,-80.117324,2402 N. Federal Highway,Fort Lauderdale,FL,33305,(954) 630-0704,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=2402 N Federal Highway Fort Lauderdale FL 33305 US
Leslie's Swimming Pool Supplies,27.234378,-80.267997,2415 NW Federal Highway,Stuart,FL,34994,(772) 232-9870,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=2415 NW Federal Highway Stuart FL 34994 US
Leslie's Swimming Pool Supplies,26.314800,-80.091167,250 S. Federal Highway,Deerfield Beach,FL,33441,(954) 427-3167,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=250 S Federal Highway Deerfield Beach FL 33441 US
Leslie's Swimming Pool Supplies,28.513947,-81.485919,2619 S. Hiawassee Road,Orlando,FL,32835,(407) 523-5122,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=2619 S Hiawassee Road Orlando FL 32835 US
Leslie's Swimming Pool Supplies,28.546733,-81.703950,2670 E. Highway 50,Clermont,FL,34711,(352) 243-5778,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=2670 E Highway 50 Clermont FL 34711 US
Leslie's Swimming Pool Supplies,27.805782,-82.636808,280 37th Avenue North,St. Petersburg,FL,33704,(727) 822-1502,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=280 37th Avenue North St Petersburg FL 33704 US
Leslie's Swimming Pool Supplies,27.170963,-80.293030,2843 SW Cafe' Court,Palm City,FL,34990,(772) 287-9262,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=2843 SW Cafe Court Palm City FL 34990 US
Leslie's Swimming Pool Supplies,28.069799,-82.738986,32546 US Hwy 19 N.,Palm Harbor,FL,34684,(727) 781-4625,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=32546 US Hwy 19 N Palm Harbor FL 34684 US
Leslie's Swimming Pool Supplies,27.269316,-82.500591,3444 Clark Road,Sarasota,FL,34231,(941) 925-9964,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=3444 Clark Road Sarasota FL 34231 US
Leslie's Swimming Pool Supplies,28.166219,-80.672072,3680 N Wickham Road,Melbourne,FL,32934,(321) 254-3413,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=3680 N Wickham Road Melbourne FL 32934 US
Leslie's Swimming Pool Supplies,28.707387,-81.443067,3855 Wekiva Springs Road,Longwood,FL,32779,(407) 862-0726,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=3855 Wekiva Springs Road Longwood FL 32779 US
Leslie's Swimming Pool Supplies,25.732742,-80.375784,3896 SW 112th Avenue,Miami,FL,33165,(305) 480-5312,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=3896 SW 112th Avenue Miami FL 33165 US
Leslie's Swimming Pool Supplies,30.258276,-81.387770,3994 3rd Street S,Jacksonville Beach,FL,32250,(904) 247-5063,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=3994 3rd Street S Jacksonville Beach FL 32250 US
Leslie's Swimming Pool Supplies,28.363589,-81.426044,4181 Town Center Blvd.,Orlando,FL,32837,(407) 251-7810,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=4181 Town Center Blvd Orlando FL 32837 US
Leslie's Swimming Pool Supplies,27.276547,-82.483266,4284 Bee Ridge Road,Sarasota,FL,34233,(941) 371-9455,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=4284 Bee Ridge Road Sarasota FL 34233 US
Leslie's Swimming Pool Supplies,27.049805,-82.388488,4347 Tamiami Trail S.,Venice,FL,34293,(941) 492-2557,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=4347 Tamiami Trail S Venice FL 34293 US
Leslie's Swimming Pool Supplies,27.977776,-81.958299,4770 South Florida Avenue,Lakeland,FL,33813,(863) 647-2343,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=4770 South Florida Avenue Lakeland FL 33813 US
Leslie's Swimming Pool Supplies,28.481179,-81.330864,5150 S. Conway Road,Belle Isle,FL,32812,(407) 826-9921,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=5150 S Conway Road Belle Isle FL 32812 US
Leslie's Swimming Pool Supplies,26.032632,-80.197697,5321 Sheridan Street,Hollywood,FL,33021,(954) 518-9626,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=5321 Sheridan Street Hollywood FL 33021 US
Leslie's Swimming Pool Supplies,27.481270,-82.619083,5757 Manatee Ave W,Bradenton,FL,34209,(941) 792-0777,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=5757 Manatee Ave W Bradenton FL 34209 US
Leslie's Swimming Pool Supplies,30.193492,-81.740870,6001 Argyle Forest Blvd.,Jacksonville,FL,32244,(904) 573-6515,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=6001 Argyle Forest Blvd Jacksonville FL 32244 US
Leslie's Swimming Pool Supplies,26.934479,-80.131502,6340 Indiantown Road,Jupiter,FL,33458,(561) 746-6815,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=6340 Indiantown Road Jupiter FL 33458 US
Leslie's Swimming Pool Supplies,26.708131,-80.150525,6901 W. Okeechobee Blvd.,West Palm Beach,FL,33411,(561) 686-3671,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=6901 W Okeechobee Blvd West Palm Beach FL 33411 US
Leslie's Swimming Pool Supplies,27.791768,-82.736354,6986 22nd Ave N.,St. Petersburg,FL,33710,(727) 345-7153,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=6986 22nd Ave N St Petersburg FL 33710 US
Leslie's Swimming Pool Supplies,28.280632,-82.698787,"7007 Ridge Road, Ste.",Port Richey,FL,34668,(727) 842-2496,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=7007 Ridge Road Ste Port Richey FL 34668 US
Leslie's Swimming Pool Supplies,27.978372,-81.654210,7050 Cypress Gardens Blvd,Winter Haven,FL,33884,(863) 326-9380,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=7050 Cypress Gardens Blvd Winter Haven FL 33884 US
Leslie's Swimming Pool Supplies,26.120922,-80.243769,7149 W. Broward Blvd.,Plantation,FL,33317,(954) 689-7249,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=7149 W Broward Blvd Plantation FL 33317 US
Leslie's Swimming Pool Supplies,28.780859,-81.347120,815 Rinehart Road,Lake Mary,FL,32746,(407) 328-3244,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=815 Rinehart Road Lake Mary FL 32746 US
Leslie's Swimming Pool Supplies,26.286700,-80.236103,8260 Wiles Road,Coral Springs,FL,33067,(954) 345-7884,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=8260 Wiles Road Coral Springs FL 33067 US
Leslie's Swimming Pool Supplies,26.226660,-80.269771,8299 N. Pine Island Road,Tamarac,FL,33321,(954) 597-2653,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=8299 N Pine Island Road Tamarac FL 33321 US
Leslie's Swimming Pool Supplies,28.026448,-82.583150,8418 Sheldon Road,Tampa,FL,33615,(813) 888-9930,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=8418 Sheldon Road Tampa FL 33615 US
Leslie's Swimming Pool Supplies,27.893617,-82.271578,847 E. Bloomingdale Avenue,Brandon,FL,33511,(813) 661-8748,http://www.lesliespool.com,,http://maps.google.com/maps?saddr=&daddr=847 E Bloomingdale Avenue Brandon FL 33511 US
